| time |reset|ARegister|DRegister|pc |RAM64[16]|RAM64[17]|RAM64[18]|
| 0    |  0  |       0 |       0 | 0 |       3 |       4 |       0 |
| 1    |  0  |      16 |       0 | 1 |       3 |       4 |       0 |
| 2    |  0  |      16 |       3 | 2 |       3 |       4 |       0 |
| 3    |  0  |      17 |       3 | 3 |       3 |       4 |       0 |
| 4    |  0  |      17 |      -1 | 4 |       3 |       4 |       0 |
| 5    |  0  |      10 |      -1 | 5 |       3 |       4 |       0 |
| 6    |  0  |      10 |      -1 | 6 |       3 |       4 |       0 |
| 7    |  0  |      17 |      -1 | 7 |       3 |       4 |       0 |
| 8    |  0  |      17 |       4 | 8 |       3 |       4 |       0 |
| 9    |  0  |      16 |       4 | 9 |       3 |       4 |       0 |
| 10   |  0  |      16 |       1 | 0 |       3 |       4 |       0 |
| 11   |  0  |      18 |       1 | 1 |       3 |       4 |       0 |
| 12   |  0  |      18 |       1 | 2 |       3 |       4 |       1 |
| 13   |  1  |       0 |       1 | 0 |       0 |       0 |       0 |
