| time |reset|ARegister|DRegister|pc |RAM64[16]|RAM64[17]|
| 1    |  0  |      16 |       0 | 1 |       0 |       0 |
| 2    |  0  |      16 |       0 | 2 |       1 |       0 |
| 3    |  0  |      17 |       0 | 3 |       1 |       0 |
| 4    |  0  |      17 |       0 | 4 |       1 |       0 |
| 5    |  0  |      16 |       0 | 5 |       1 |       0 |
| 6    |  0  |      16 |       1 | 6 |       1 |       0 |
| 7    |  0  |      10 |       1 | 7 |       1 |       0 |
| 8    |  0  |      10 |      -9 | 8 |       1 |       0 |
| 9    |  0  |      18 |      -9 | 9 |       1 |       0 |
| 10   |  0  |      18 |      -9 | 0 |       1 |       0 |
| 11   |  0  |      16 |      -9 | 1 |       1 |       0 |
| 12   |  0  |      16 |       1 | 2 |       1 |       0 |
| 13   |  0  |      17 |       1 | 3 |       1 |       0 |
| 14   |  0  |      17 |       1 | 4 |       1 |       1 |
| 15   |  0  |      16 |       1 | 5 |       1 |       1 |
| 16   |  0  |      16 |       1 | 6 |       2 |       1 |
| 17   |  0  |       4 |       1 | 7 |       2 |       1 |
| 18   |  0  |       4 |       1 | 4 |       2 |       1 |
| 19   |  0  |      16 |       1 | 5 |       2 |       1 |
| 20   |  0  |      16 |       2 | 6 |       2 |       1 |
| 21   |  0  |      10 |       2 | 7 |       2 |       1 |
| 22   |  0  |      10 |      -8 | 8 |       2 |       1 |
| 23   |  0  |      18 |      -8 | 9 |       2 |       1 |
| 24   |  0  |      18 |      -8 | 0 |       2 |       1 |
| 25   |  0  |      16 |      -8 | 1 |       2 |       1 |
| 26   |  0  |      16 |       2 | 2 |       2 |       1 |
| 27   |  0  |      17 |       2 | 3 |       2 |       1 |
| 28   |  0  |      17 |       2 | 4 |       2 |       3 |
| 29   |  0  |      16 |       2 | 5 |       2 |       3 |
| 30   |  0  |      16 |       2 | 6 |       3 |       3 |
| 31   |  0  |       4 |       2 | 7 |       3 |       3 |
| 32   |  0  |       4 |       2 | 4 |       3 |       3 |
| 33   |  0  |      16 |       2 | 5 |       3 |       3 |
| 34   |  0  |      16 |       3 | 6 |       3 |       3 |
| 35   |  0  |      10 |       3 | 7 |       3 |       3 |
| 36   |  0  |      10 |      -7 | 8 |       3 |       3 |
| 37   |  0  |      18 |      -7 | 9 |       3 |       3 |
| 38   |  0  |      18 |      -7 | 0 |       3 |       3 |
| 39   |  0  |      16 |      -7 | 1 |       3 |       3 |
| 40   |  0  |      16 |       3 | 2 |       3 |       3 |
| 41   |  0  |      17 |       3 | 3 |       3 |       3 |
| 42   |  0  |      17 |       3 | 4 |       3 |       6 |
| 43   |  0  |      16 |       3 | 5 |       3 |       6 |
| 44   |  0  |      16 |       3 | 6 |       4 |       6 |
| 45   |  0  |       4 |       3 | 7 |       4 |       6 |
| 46   |  0  |       4 |       3 | 4 |       4 |       6 |
| 47   |  0  |      16 |       3 | 5 |       4 |       6 |
| 48   |  0  |      16 |       4 | 6 |       4 |       6 |
| 49   |  0  |      10 |       4 | 7 |       4 |       6 |
| 50   |  0  |      10 |      -6 | 8 |       4 |       6 |
| 51   |  0  |      18 |      -6 | 9 |       4 |       6 |
| 52   |  0  |      18 |      -6 | 0 |       4 |       6 |
| 53   |  0  |      16 |      -6 | 1 |       4 |       6 |
| 54   |  0  |      16 |       4 | 2 |       4 |       6 |
| 55   |  0  |      17 |       4 | 3 |       4 |       6 |
| 56   |  0  |      17 |       4 | 4 |       4 |      10 |
| 57   |  0  |      16 |       4 | 5 |       4 |      10 |
| 58   |  0  |      16 |       4 | 6 |       5 |      10 |
| 59   |  0  |       4 |       4 | 7 |       5 |      10 |
| 60   |  0  |       4 |       4 | 4 |       5 |      10 |
| 61   |  0  |      16 |       4 | 5 |       5 |      10 |
| 62   |  0  |      16 |       5 | 6 |       5 |      10 |
| 63   |  0  |      10 |       5 | 7 |       5 |      10 |
| 64   |  0  |      10 |      -5 | 8 |       5 |      10 |
| 65   |  0  |      18 |      -5 | 9 |       5 |      10 |
| 66   |  0  |      18 |      -5 | 0 |       5 |      10 |
| 67   |  0  |      16 |      -5 | 1 |       5 |      10 |
| 68   |  0  |      16 |       5 | 2 |       5 |      10 |
| 69   |  0  |      17 |       5 | 3 |       5 |      10 |
| 70   |  0  |      17 |       5 | 4 |       5 |      15 |
| 71   |  0  |      16 |       5 | 5 |       5 |      15 |
| 72   |  0  |      16 |       5 | 6 |       6 |      15 |
| 73   |  0  |       4 |       5 | 7 |       6 |      15 |
| 74   |  0  |       4 |       5 | 4 |       6 |      15 |
| 75   |  0  |      16 |       5 | 5 |       6 |      15 |
| 76   |  0  |      16 |       6 | 6 |       6 |      15 |
| 77   |  0  |      10 |       6 | 7 |       6 |      15 |
| 78   |  0  |      10 |      -4 | 8 |       6 |      15 |
| 79   |  0  |      18 |      -4 | 9 |       6 |      15 |
| 80   |  0  |      18 |      -4 | 0 |       6 |      15 |
| 81   |  0  |      16 |      -4 | 1 |       6 |      15 |
| 82   |  0  |      16 |       6 | 2 |       6 |      15 |
| 83   |  0  |      17 |       6 | 3 |       6 |      15 |
| 84   |  0  |      17 |       6 | 4 |       6 |      21 |
| 85   |  0  |      16 |       6 | 5 |       6 |      21 |
| 86   |  0  |      16 |       6 | 6 |       7 |      21 |
| 87   |  0  |       4 |       6 | 7 |       7 |      21 |
| 88   |  0  |       4 |       6 | 4 |       7 |      21 |
| 89   |  0  |      16 |       6 | 5 |       7 |      21 |
| 90   |  0  |      16 |       7 | 6 |       7 |      21 |
| 91   |  0  |      10 |       7 | 7 |       7 |      21 |
| 92   |  0  |      10 |      -3 | 8 |       7 |      21 |
| 93   |  0  |      18 |      -3 | 9 |       7 |      21 |
| 94   |  0  |      18 |      -3 | 0 |       7 |      21 |
| 95   |  0  |      16 |      -3 | 1 |       7 |      21 |
| 96   |  0  |      16 |       7 | 2 |       7 |      21 |
| 97   |  0  |      17 |       7 | 3 |       7 |      21 |
| 98   |  0  |      17 |       7 | 4 |       7 |      28 |
| 99   |  0  |      16 |       7 | 5 |       7 |      28 |
| 100  |  0  |      16 |       7 | 6 |       8 |      28 |
| 101  |  0  |       4 |       7 | 7 |       8 |      28 |
| 102  |  0  |       4 |       7 | 4 |       8 |      28 |
| 103  |  0  |      16 |       7 | 5 |       8 |      28 |
| 104  |  0  |      16 |       8 | 6 |       8 |      28 |
| 105  |  0  |      10 |       8 | 7 |       8 |      28 |
| 106  |  0  |      10 |      -2 | 8 |       8 |      28 |
| 107  |  0  |      18 |      -2 | 9 |       8 |      28 |
| 108  |  0  |      18 |      -2 | 0 |       8 |      28 |
| 109  |  0  |      16 |      -2 | 1 |       8 |      28 |
| 110  |  0  |      16 |       8 | 2 |       8 |      28 |
| 111  |  0  |      17 |       8 | 3 |       8 |      28 |
| 112  |  0  |      17 |       8 | 4 |       8 |      36 |
| 113  |  0  |      16 |       8 | 5 |       8 |      36 |
| 114  |  0  |      16 |       8 | 6 |       9 |      36 |
| 115  |  0  |       4 |       8 | 7 |       9 |      36 |
| 116  |  0  |       4 |       8 | 4 |       9 |      36 |
| 117  |  0  |      16 |       8 | 5 |       9 |      36 |
| 118  |  0  |      16 |       9 | 6 |       9 |      36 |
| 119  |  0  |      10 |       9 | 7 |       9 |      36 |
| 120  |  0  |      10 |      -1 | 8 |       9 |      36 |
| 121  |  0  |      18 |      -1 | 9 |       9 |      36 |
| 122  |  0  |      18 |      -1 | 0 |       9 |      36 |
| 123  |  0  |      16 |      -1 | 1 |       9 |      36 |
| 124  |  0  |      16 |       9 | 2 |       9 |      36 |
| 125  |  0  |      17 |       9 | 3 |       9 |      36 |
| 126  |  0  |      17 |       9 | 4 |       9 |      45 |
| 127  |  0  |      16 |       9 | 5 |       9 |      45 |
| 128  |  0  |      16 |       9 | 6 |      10 |      45 |
| 129  |  0  |       4 |       9 | 7 |      10 |      45 |
| 130  |  0  |       4 |       9 | 4 |      10 |      45 |
| 131  |  0  |      16 |       9 | 5 |      10 |      45 |
| 132  |  0  |      16 |      10 | 6 |      10 |      45 |
| 133  |  0  |      10 |      10 | 7 |      10 |      45 |
| 134  |  0  |      10 |       0 | 8 |      10 |      45 |
| 135  |  0  |      18 |       0 | 9 |      10 |      45 |
| 136  |  0  |      18 |       0 | 0 |      10 |      45 |
| 137  |  0  |      16 |       0 | 1 |      10 |      45 |
| 138  |  0  |      16 |      10 | 2 |      10 |      45 |
| 139  |  0  |      17 |      10 | 3 |      10 |      45 |
| 140  |  0  |      17 |      10 | 4 |      10 |      55 |
| 141  |  0  |      16 |      10 | 5 |      10 |      55 |
| 142  |  0  |      16 |      10 | 6 |      11 |      55 |
| 143  |  0  |       4 |      10 | 7 |      11 |      55 |
| 144  |  0  |       4 |      10 | 4 |      11 |      55 |
| 145  |  0  |      16 |      10 | 5 |      11 |      55 |
| 146  |  0  |      16 |      11 | 6 |      11 |      55 |
| 147  |  0  |      10 |      11 | 7 |      11 |      55 |
| 148  |  0  |      10 |       1 | 8 |      11 |      55 |
| 149  |  0  |      18 |       1 | 9 |      11 |      55 |
| 150  |  0  |      18 |       1 | 8 |      11 |      55 |
| 151  |  0  |      18 |       1 | 9 |      11 |      55 |
| 152  |  1  |      18 |       1 | 0 |       0 |       0 |
